Ano;Título original;Título em português;Papel;Notas
1980;Brubaker;;Extra;Não-creditado
1981;Best of Times;;Nicholas;Filme para televisão
1982;Fast Times at Ridgemont High;Viagem da Motocicleta;Smokey;
1984;Racing with the Moon;Adeus à Inocência;Nicky e Bud;
1984;The Cotton Club;;Vincent Dwyer;
1984;Birdy;Asas da Liberdade;Sargento Al Columbato;
1986;The Boy in Blue;Fúria de Vencer;Ned Hanlan;
1986;Peggy Sue Got Married;Peggy Sue - Seu Passado a Espera;Charlie Bodell;
1987;Raising Arizona;Arizona Nunca Mais;H. I. McDunnough;
1987;Moonstruck;Feitiço da Lua;Ronny Cammareri;
1988;Never on Tuesday;Sedutores Seduzidos;Homem no carro esportivo vermelho;Não-creditado
1989;Vampire's Kiss;Um Estranho Vampiro;Peter Leow;
1990;Tempo di uccidere;;Enrico Silvestri;como Time to Kill
1990;Fire Birds;Apache - Helicópteros Invencíveis;Jake Preston;como Wings of the Apache
1990;Wild at Heart;Coração Selvagem;Marinheiro;
1990;Zandalee;Zandalee - Uma Mulher para Dois;Johnny;
1992;Honeymoon in Vegas;Lua-de-mel a Três Lua-de-Mel em Las Vegas;Jack Singer;
1993;Amos & Andrew;Não Chame a Polícia;Amos Odell;
1993;Deadfall;Engano Mortal;Eddie;
1994;Century of Cinema;;Ele próprio;
1994;Red Rock West;Morte por Encomenda Delito em Red Rock West;Michael Williams;
1994;Guarding Tess;O Guarda-Costas e a Primeira-Damapt: O Agente Secreto;Doug Chesnic;
1994;It Could Happen to You;br: Atraídos pelo Destinopt: Poderia Acontecer-te;Charlie Lang;
1994;Trapped in Paradise;br: Encurralados no Paraíso;Bill Firpo;
1995;Kiss of Death;br: O Beijo da Morte;Jovem Junior Brown;
1995;Leaving Las Vegas;br: Despedida em Las Vegaspt: Morrer em Las Vegas;Ben Sanderson;
1996;The Rock;br: A Rochapt: O Rochedo;Dr. Stanley Goodspeed;
1997;Con Air;br: Con Air - A Rota da Fugapt: Fortaleza Voadora;Cameron Poe;
1997;Face Off;br/pt: A Outra Face;Castor Troy/Sean Archer;
1998;City of Angels;br/pt: Cidade dos Anjos;Seth;
1998;Snake Eyes;br: Olhos de Serpentept: Olhos da Serpente;Rick Santoro;
1999;8mm;br/pt: 8 Milímetros;Tom Welles;
1999;Bringing Out the Dead;br: Vivendo no Limitept: Por um Fio;Frank Pierce;
2000;Gone in Sixty Seconds;br: 60 Segundos;"Randall ""Memphis"" Raines";
2000;Family Man;br: Um Homem de Famíliapt: Dois Destinos;Jack Campbell;
2000;Welcome to Hollywood;;Ele próprio;
2001;Italian Soldiers;;Ele próprio;
2001;Captain Corelli's Mandolin;br/pt: O Capitão Corelli;Capitão Antonio Corelli;
2001;Christmas Carol: The Movie;;Jacob Marley;Voz
2002;Windtalkers;br/pt: Códigos de Guerra;Sargento Joe Enders;
2002;Adaptation.;br: Adaptaçãopt: Inadaptado;Charlie e Donald Kaufman;
2002;Sonny;br: Sonny, o Amante;Acid Yellow;
2003;Matchstick Men;br: Os Vigaristaspt: Amigos do Alheio;Roy Waller;
2004;National Treasure;br: A Lenda do Tesouro Perdidopt: O Tesouro;Benjamin Gates;
2005;Lord of War;br: O Senhor das Armaspt: O Senhor da Guerra;Yuri Orlov;
2005;The Weather Man;br: O Sol de Cada Manhãpt: O Homem do Tempo;David Spritz;
2006;The Ant Bully;br: Lucas - Um Intruso no Formigueiropt: O Rapaz Formiga;Zoc;Voz
2006;The Wicker Man;br: O Sacrifíciopt: O Escolhido;Edward Malus;
2006;Too Tough To Die;;ele próprio;
2006;World Trade Center;pt: Torres Gêmeas;John McLoughlin;
2007;Ghost Rider;br: Motoqueiro Fantasma;Johnny Blaze;
2007;Grindhouse;;Dr. Fu Manchu;Na continuação: Werewolf Women of the S.S.
2007;Next;br: O Vidente;Cris Johnson;
2007;National Treasure: Book of Secrets;pt: A Lenda do Tesouro Perdido: Livro dos Segredos;Benjamin Gates;
2008;Bangkok Dangerous;br: Perigo em Bangkok;Joe;
2009;Knowing;br: Presságiopt: Sinais do Futuro;"Professor Jonathan ""John"" Koestler";
2009;G-Force;br: Força-G;Speckles, a Marmota;Voz
2009;Astro Boy;br: Astro Boy;Dr. Tenma;Voz
2009;Bad Lieutenant: Port of Call New Orleans;br: Vício Frenético;Terrence McDonagh;
2010;Kick-Ass;br: Kick-Ass - Quebrando Tudo;Damon Macready/Big Daddy;
2010;The Sorcerer's Apprentice;br: O Aprendiz de Feiticeiro;Balthazar Blake;
2011;Season of the Witch;br: Caça as Bruxas;Behman von Bleiruck;
2011;Drive Angry;br: Fúria sobre Rodas;Milton;
2011;Trespass;br: Reféns;Kyle;
2011;Seeking Justice;br: O Pacto;Will Gerard;
2012;Ghost Rider: Spirit of Vengeance;br: Motoqueiro Fantasma: Espírito de Vingança;Ghost Rider/Johnny Blaze;
2012;Stolen;O Resgate;Will Montgomery;
2012;Frank or Francis[10];The Emcee;pre-production;
2012;The Frozen Ground;;Detetive Glenn Flothe;
2013;Os Croods;Crug[11];Voz;
2013;The Frozen Ground;O Assassino do Alaska;Jack Halcombe;
2013;Joe;Joe;Joe;
2014;Tokarev;Fúria;Paul Maguire;
2014;Left Behind;br: O Apocalipse;Rayford Steele;
2015;Outcast;br: O Imperador;TBA;
2015;Dying of the Light;br: Vingança ao anoitecer;Evan Lake;
2015;The Runner;br: Fator de risco;Colin Price;
2015;Pay the Ghost;TBA;TBA;Pré-Produção
2015;National Treasure 3;TBA;TBA;Anunciado
2015;Men with No Fear;TBA;TBA;Anunciado
2016;The Trust;A Sacada;Jim Stone;
2016;USS Indianapolis: Men of Courage;Homens de Coragem;Charles Butler McVay;
2019;Spider-Man: Into the Spider-Verse;br: Homem-Aranha no Aranhaverso;Spider-Man Noir;Voz
2019;Grand Isle;A Ilha;Walter;[12]
2021;Willy's Wonderland;;The Janitor;Produtor
